Date,Last Price,Volume,RSI,MACD,News Sentiment - Daily Average,News Publication Count,P/E,P/B,Correction
3/20/2018,175.24,19649350,50.1901,-0.4449,0.1321,2652,45.62353554,12.7292015,0
3/19/2018,175.3,33446772,50.3201,-0.2417,0.208,1790,45.63915647,12.73355982,0
3/16/2018,178.02,39404688,56.4761,0.0636,0.1442,2064,46.34730539,12.93113702,0
3/15/2018,178.65,22743798,58.0022,0.2346,0.0421,2090,46.51132518,12.97689939,0
3/14/2018,178.44,29368356,57.648,0.3898,0.0812,2636,46.45665191,12.96164527,1
3/13/2018,179.97,31693528,61.1366,0.5934,0.2958,2663,46.85498568,13.07278244,0
3/12/2018,181.72,32207080,65.336,0.6814,0.277,1199,47.3105962,13.19990012,0
3/9/2018,179.98,32185162,62.9888,0.5574,0.2839,1959,46.85758917,13.07350883,1
3/8/2018,176.94,23774108,58.4213,0.4632,0.1027,2112,46.06612861,12.85268725,1
3/7/2018,175.03,31703462,55.1955,0.559,0.104,1910,45.56886228,12.71394738,1
3/6/2018,176.67,23788506,58.8349,0.8365,0.3193,2019,45.99583442,12.83307481,0
3/5/2018,176.82,28401366,59.1663,1.0213,0.212,1415,46.03488675,12.84397061,0
3/2/2018,176.21,38453952,58.279,1.1973,0.2292,2119,45.87607394,12.79966102,1
3/1/2018,175,48801968,56.5397,1.4259,0.2394,2511,45.56105181,12.71176822,1
2/28/2018,178.12,37782136,62.8092,1.7846,0.1584,2539,46.37334028,12.93840089,0
2/27/2018,178.39,38928124,63.374,1.8851,0.2656,3381,46.44363447,12.95801333,0
2/26/2018,178.97,38162176,64.5313,1.8621,0.1422,2073,46.59463681,13.00014376,0
2/23/2018,175.5,33812360,60.5267,1.6193,0.0978,2012,45.69122624,12.74808756,1
2/22/2018,172.5,30991940,56.5923,1.465,0.1162,2192,44.91017964,12.53017153,1
2/21/2018,171.07,37471624,54.5889,1.4231,0.1834,1666,44.53788076,12.42629823,1
2/20/2018,171.85,33930540,55.8955,1.4094,0.1199,1408,44.74095288,12.48295639,0
2/16/2018,172.43,40176092,56.8348,1.2219,0.3464,2542,44.89195522,12.52508683,0
2/15/2018,172.99,51147172,57.7042,0.7985,0.2046,2646,45.03775059,12.56576448,0
